_id,lat,lon
,42.98239136,-83.77381134
,43.17737198,-83.75682068
,43.17742157,-83.75569916
,43.17741394,-83.74951935
,43.1771965,-83.75694275
,43.17738724,-83.74858856
,43.17720032,-83.75694275
,43.17886734,-83.73669434
,43.19143295,-83.72502899
,42.98711355257599,-83.73512810022085
,43.19041443,-83.72425079
,43.14817429,-83.73402405
,43.14817429,-83.73527527
,43.14818954,-83.73656464
,43.15263367,-83.69573212
,43.15365982,-83.69650269
,43.15472794,-83.6973114
,43.15545273,-83.69786835
,43.15656281,-83.69871521
,43.1577034,-83.69960785
,43.13444519,-83.69474792
,43.00217819,-83.75
,43.05097961,-83.66391754
,43.0509758,-83.66452026
,43.0420723,-83.42532349
,43.04226685,-83.423172
,43.04188919,-83.42755127
,43.04197693,-83.4265213
,43.01370621,-83.63804626
,43.01380157,-83.63535309
,43.01382065,-83.63420868
,43.01384354,-83.63305664
,43.01388931,-83.63188171
,43.03502274,-83.51663971
,43.01534653,-83.43467712
,43.01533127,-83.43391418
,43.01939774,-83.59669495
,43.01938248,-83.59749603
,42.987292275016515,-83.73533860509761
,42.98758344422927,-83.73567197384808
,42.98758344422927,-83.73567197384808
,42.98770109161875,-83.73580770861459
,42.98770109161875,-83.73580770861459
,42.98770109161875,-83.73580770861459
,42.98814837716809,-83.73632654727119
,42.98848182110034,-83.73667875451486
,42.98848182110034,-83.73667875451486
,42.988619339715825,-83.73681873127342
,42.988619339715825,-83.73681873127342
,42.988619339715825,-83.73681873127342
,42.98902947298016,-83.73721533548843
,42.9814553160478,-83.75670861366139
,42.9814553160478,-83.75670861366139
,42.9814553160478,-83.75670861366139
,42.9814553160478,-83.75670861366139
,42.9814553160478,-83.75670861366139
,42.9814553160478,-83.75670861366139
,42.9814553160478,-83.75670861366139
,42.981445014682684,-83.7567636524115
,42.981445014682684,-83.7567636524115
,42.98143143859605,-83.75679129969403
,42.981406859159264,-83.75680652127657
,42.981406859159264,-83.75680652127657
,42.981382222282704,-83.75680775273909
,42.981382222282704,-83.75680775273909
,42.981382222282704,-83.75680775273909
,42.981382222282704,-83.75680775273909
,42.981382222282704,-83.75680775273909
,42.981382222282704,-83.75680775273909
,42.981245072701135,-83.75670922416668
,42.981245072701135,-83.75670922416668
,42.981245072701135,-83.75670922416668
,42.98118964842065,-83.75666354014015
,42.98118964842065,-83.75666354014015
,42.98118964842065,-83.75666354014015
,42.98115897908682,-83.7566261237567
,42.981161782789,-83.75670927653506
,42.981161782789,-83.75670927653506
,42.98117134352613,-83.75672278093663
,42.98117262271414,-83.75672099344794
,42.981153527356035,-83.75670044310883
,42.981153334273344,-83.75669844931659
,42.981153334273344,-83.75669844931659
