_id,lat,lon,address
,43.15263367,-83.69573212,"10156 North Saginaw Road, Clio, Michigan 48420, United States"
,43.15365982,-83.69650269,"10185 North Saginaw Road, Clio, Michigan 48420, United States"
,43.15472794,-83.6973114,"10221 North Saginaw Road, Clio, Michigan 48420, United States"
,43.15545273,-83.69786835,"10256 North Saginaw Road, Clio, Michigan 48420, United States"
,43.15656281,-83.69871521,"10302 North Saginaw Road, Clio, Michigan 48420, United States"
,43.1577034,-83.69960785,"10380 North Saginaw Road, Clio, Michigan 48420, United States"
,43.13444519,-83.69474792,"1033 West Frances Road, Mount Morris, Michigan 48458, United States"
,43.00217819,-83.75,"3455 Corunna Road, Flint, Michigan 48532, United States"
,43.05097961,-83.66391754,"1928 Richfield Road, Flint, Michigan 48506, United States"
,43.0509758,-83.66452026,"4025 North Dort Highway, Flint, Michigan 48506, United States"
,43.0420723,-83.42532349,"5147 Davison Road, Lapeer, Michigan 48446, United States"
,43.04226685,-83.423172,"5062 Davison Road, Lapeer, Michigan 48446, United States"
,43.04188919,-83.42755127,"5173 Davison Road, Lapeer, Michigan 48446, United States"
,43.04197693,-83.4265213,"5158 Davison Road, Lapeer, Michigan 48446, United States"
,43.01370621,-83.63804626,"I 69, Flint, Michigan 48060, United States"
,43.01380157,-83.63535309,"I 69, Flint, Michigan 48060, United States"
,43.01382065,-83.63420868,"I 69, Burton, Michigan 48060, United States"
,43.01384354,-83.63305664,"I 69, Burton, Michigan 48060, United States"
,43.01388931,-83.63188171,"I 69, Burton, Michigan 48060, United States"
,43.03502274,-83.51663971,"610 North State Road, Davison, Michigan 48423, United States"
,43.01534653,-83.43467712,"I 69, Lapeer, Michigan 48060, United States"
,43.01533127,-83.43391418,"I 69, Lapeer, Michigan 48060, United States"
,43.01939774,-83.59669495,"I 69, Burton, Michigan 48060, United States"
,43.01938248,-83.59749603,"I 69, Burton, Michigan 48060, United States"
,42.987292275016515,-83.73533860509761,"I 75, Flint, Michigan 48601, United States"
,42.98758344422927,-83.73567197384808,"I 75, Flint, Michigan 48601, United States"
,42.98758344422927,-83.73567197384808,"I 75, Flint, Michigan 48601, United States"
,42.98770109161875,-83.73580770861459,"I 75, Flint, Michigan 48601, United States"
,42.98770109161875,-83.73580770861459,"I 75, Flint, Michigan 48601, United States"
,42.98770109161875,-83.73580770861459,"I 75, Flint, Michigan 48601, United States"
,42.98814837716809,-83.73632654727119,"I 75, Flint, Michigan 48601, United States"
,42.98848182110034,-83.73667875451486,"I 75, Flint, Michigan 48601, United States"
,42.98848182110034,-83.73667875451486,"I 75, Flint, Michigan 48601, United States"
,42.988619339715825,-83.73681873127342,"I 75, Flint, Michigan 48601, United States"
,42.988619339715825,-83.73681873127342,"I 75, Flint, Michigan 48601, United States"
,42.988619339715825,-83.73681873127342,"I 75, Flint, Michigan 48601, United States"
,42.98902947298016,-83.73721533548843,"I 75, Flint, Michigan 48601, United States"
,42.9814553160478,-83.75670861366139,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.9814553160478,-83.75670861366139,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.9814553160478,-83.75670861366139,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.9814553160478,-83.75670861366139,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.9814553160478,-83.75670861366139,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.9814553160478,-83.75670861366139,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.9814553160478,-83.75670861366139,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.981445014682684,-83.7567636524115,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.981445014682684,-83.7567636524115,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.98143143859605,-83.75679129969403,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.981406859159264,-83.75680652127657,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.981406859159264,-83.75680652127657,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.981382222282704,-83.75680775273909,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.981382222282704,-83.75680775273909,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.981382222282704,-83.75680775273909,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.981382222282704,-83.75680775273909,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.981382222282704,-83.75680775273909,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.981382222282704,-83.75680775273909,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.981245072701135,-83.75670922416668,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.981245072701135,-83.75670922416668,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.981245072701135,-83.75670922416668,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.98118964842065,-83.75666354014015,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.98118964842065,-83.75666354014015,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.98118964842065,-83.75666354014015,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.98115897908682,-83.7566261237567,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.981161782789,-83.75670927653506,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.981161782789,-83.75670927653506,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.98117134352613,-83.75672278093663,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.98117262271414,-83.75672099344794,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.981153527356035,-83.75670044310883,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.981153334273344,-83.75669844931659,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.981153334273344,-83.75669844931659,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.98115326688544,-83.75669769135081,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.98115322439302,-83.75669752220792,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.98115322496479,-83.75669732279495,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.98115200466111,-83.75669845814856,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.98114279955202,-83.75671374877945,"4151 Miller Road, Flint, Michigan 48507, United States"
,42.98114279955202,-83.75671374877945,"4151 Miller Road, Flint, Michigan 48507, United States"
,42.98119230149803,-83.75676332750895,"4151 Miller Road, Flint, Michigan 48507, United States"
,42.98119230149803,-83.75676332750895,"4151 Miller Road, Flint, Michigan 48507, United States"
,42.98120924518495,-83.75678015030773,"4151 Miller Road, Flint, Michigan 48507, United States"
,42.981247950688534,-83.75681567295226,"4151 Miller Road, Flint, Michigan 48507, United States"
,42.98130001996431,-83.75685629864542,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.981404580214424,-83.75692207922673,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.98157418593614,-83.75673385405256,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.98157418593614,-83.75673385405256,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.98158217627815,-83.75665641893117,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.98158217627815,-83.75665641893117,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.98165737728167,-83.75654357084599,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.98165737728167,-83.75654357084599,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.98169511097112,-83.75654896899056,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.98172364281336,-83.75656299556157,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.98172623619982,-83.75656628177651,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.98172645957909,-83.75656941580004,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.98177082610268,-83.75655990540923,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.98177082610268,-83.75655990540923,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.98177082610268,-83.75655990540923,"4141 Miller Road, Flint, Michigan 48507, United States"
,42.9822883020578,-83.75523621228223,"4081 Miller Road, Flint, Michigan 48507, United States"
,42.9822883020578,-83.75523621228223,"4081 Miller Road, Flint, Michigan 48507, United States"
,42.9822883020578,-83.75523621228223,"4081 Miller Road, Flint, Michigan 48507, United States"
,42.9822883020578,-83.75523621228223,"4081 Miller Road, Flint, Michigan 48507, United States"
,42.9822883020578,-83.75523621228223,"4081 Miller Road, Flint, Michigan 48507, United States"
,42.9822883020578,-83.75523621228223,"4081 Miller Road, Flint, Michigan 48507, United States"
,42.9822883020578,-83.75523621228223,"4081 Miller Road, Flint, Michigan 48507, United States"
,42.98240039723905,-83.75494468509551,"4081 Miller Road, Flint, Michigan 48507, United States"
